ID_NUMBER,ACTIVITY_LOCATION,ENFORCEMENT_IDENTIFIER,ENFORCEMENT_TYPE,ENFORCEMENT_DESC,ENFORCEMENT_AGENCY,ENFORCEMENT_ACTION_DATE,PMP_AMOUNT,FMP_AMOUNT,FSC_AMOUNT,SCR_AMOUNT
ALD981756901,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/22/1998,,,,
ALD981756901,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/01/1999,,,,
ALD981757651,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/18/1996,,,,
ALD981757651,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/16/1998,,,,
ALD981757669,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/07/1994,,,,
ALD981757719,AL,1,AL115,WARNING LETTER,S  ,08/12/2008,,,,
ALD981757784,AL,1,HQ120,WRITTEN INFORMAL ,S  ,11/09/2000,,,,
ALD981757883,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,03/04/2005,,,,
ALD981860471,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,11/22/2002,,,,
ALD981860539,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,12/20/2007,,24000,,
ALD981860778,AL,1,AL115,WARNING LETTER,S  ,07/14/2010,,,,
ALD981865488,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/17/1993,,,,
ALD981865660,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/16/1990,,,,
ALD981865660,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/27/1997,,,,
ALD981866940,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/24/1993,,,,
ALD981867062,AL,1,AL115,WARNING LETTER,S  ,04/28/2006,,,,
ALD981867062,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/02/1993,,,,
ALD981868466,AL,0,HQ120,WRITTEN INFORMAL ,E  ,06/12/1991,,,,
ALD981868466,AL,0,HQ510,INITIAL CIVIL JUDICIAL ACTION FOR COMPLIANCE AND/OR MONETARY PENALTY,E  ,07/31/1991,,,,
ALD981919186,AL,5,HQ120,WRITTEN INFORMAL ,S  ,02/25/1987,,,,
ALD981922230,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/02/1996,,,,
ALD981923527,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/11/1994,,,,
ALD981923584,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/09/1987,,,,
ALD981923584,AL,1,HQ120,WRITTEN INFORMAL ,S  ,08/02/2002,,,,
ALD981923584,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/24/1991,,,,
ALD981923659,AL,1,AL115,WARNING LETTER,S  ,01/20/2011,,,,
ALD981923832,AL,1,AL115,WARNING LETTER,S  ,07/21/2015,,,,
ALD981931868,AL,1,HQ210,INITIAL 3008(A) COMPLIANCE ,S  ,04/18/1990,,,,
ALD981932957,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/23/1997,,,,
ALD982078917,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/25/1991,,,,
ALD982079147,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/30/1998,,,,
ALD982079683,AL,1,AL115,WARNING LETTER,S  ,12/01/2006,,,,
ALD982080855,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/11/1992,,,,
ALD982080855,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/18/1996,,,,
ALD982087090,AL,1,HQ120,WRITTEN INFORMAL ,S  ,09/15/1989,,,,
ALD982088379,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/17/2010,,,,
ALD982088379,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,10/17/2014,,10100,,
ALD982092579,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/28/1992,,,,
ALD982094187,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/09/1998,,,,
ALD982095580,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/09/1994,,,,
ALD982097230,AL,2,HQ120,WRITTEN INFORMAL ,S  ,07/14/1989,,,,
ALD982097602,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/25/1995,,,,
ALD982097669,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/31/1987,,,,
ALD982098139,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/14/1999,,,,
ALD982098253,AL,1,HQ120,WRITTEN INFORMAL ,S  ,09/04/1990,,,,
ALD982098311,AL,1,AL115,WARNING LETTER,S  ,05/02/2016,,,,
ALD982100414,AL,2,HQ120,WRITTEN INFORMAL ,S  ,07/24/1989,,,,
ALD982105892,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/11/1995,,,,
ALD982106288,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/11/1993,,,,
ALD982108748,AL,1,AL115,WARNING LETTER,S  ,01/15/2013,,,,
ALD982109860,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/07/1997,,,,
ALD982111478,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/06/1998,,,,
ALD982111494,AL,1,AL115,WARNING LETTER,S  ,10/18/2013,,,,
ALD982114704,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/01/1987,,,,
ALD982115115,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/13/1999,,,,
ALD982115180,AL,4,HQ120,WRITTEN INFORMAL ,S  ,11/20/1989,,,,
ALD982115180,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/12/1998,,,,
ALD982115230,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/26/1988,,,,
ALD982121113,AL,1,AL115,WARNING LETTER,S  ,08/14/2013,,,,
ALD982121410,AL,1,HQ120,WRITTEN INFORMAL ,S  ,09/23/2004,,,,
ALD982121410,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/17/2012,,,,
ALD982121410,AL,1,AL115,WARNING LETTER,S  ,02/16/2017,,,,
ALD982121410,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,06/26/2017,,,,
ALD982123127,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/12/1996,,,,
ALD982123184,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/21/1997,,,,
ALD982123184,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/02/1999,,,,
ALD982125213,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,01/31/2003,,,,
ALD982125213,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/20/1995,,,,
ALD982128118,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/19/2003,,,,
ALD982130148,AL,1,AL115,WARNING LETTER,S  ,08/09/2012,,,,
ALD982133779,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/14/1989,,,,
ALD982133837,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/27/1989,,,,
ALD982134835,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/07/1991,,,,
ALD982135949,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/21/1998,,,,
ALD982139792,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/10/1997,,,,
ALD982139826,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,08/30/1991,65000,65000,,
ALD982142960,AL,1,AL213,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,12/18/2003,,,,
ALD982142960,AL,1,AL312,FINAL DETERMINATION-CONSENT ORDER EXECUTED,S  ,07/14/2004,,35000,,
ALD982143836,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/04/1995,,,,
ALD982143836,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/10/1998,,,,
ALD982144610,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/25/1998,,,,
ALD982144735,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/10/1995,,,,
ALD982154551,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,12/13/1989,,10000,,
ALD982157091,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/18/1998,,,,
ALD982157398,AL,1,AL115,WARNING LETTER,S  ,09/28/2009,,,,
ALD982167678,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,07/31/2012,,,,
ALD982167678,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/23/1991,,,,
ALD982167678,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,12/27/1991,,,,
ALD982167678,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/04/1992,,,,
ALD983166091,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/12/1990,,,,
ALD983166257,AL,1,AL115,WARNING LETTER,S  ,07/28/2016,,,,
ALD983166349,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/07/1999,,,,
ALD983166463,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/08/1997,,,,
ALD983166638,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/08/1999,,,,
ALD983166653,AL,1,HQ120,WRITTEN INFORMAL ,S  ,06/21/2012,,,,
ALD983166653,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/15/1994,,,,
ALD983166653,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/08/1999,,,,
ALD983166653,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/13/1999,,,,
ALD983166927,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/18/1996,,,,
ALD983167016,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/23/1991,,,,
ALD983167024,AL,1,AL115,WARNING LETTER,S  ,08/06/2015,,,,
ALD983167792,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/05/2006,,,,
ALD983167925,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/15/1995,,,,
ALD983167925,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/10/1997,,,,
ALD983167933,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/16/1993,,,,
ALD983167933,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/18/1997,,,,
ALD983168089,AL,1,AL115,WARNING LETTER,S  ,03/31/2009,,,,
ALD983168089,AL,1,AL115,WARNING LETTER,S  ,04/04/2016,,,,
ALD983168386,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/18/1991,,,,
ALD983169103,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/24/1998,,,,
ALD983170010,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/03/1992,,,,
ALD983170804,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/15/1999,,,,
ALD983171638,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/29/2012,,,,
ALD983171794,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/19/1992,,,,
ALD983171844,AL,1,HQ120,WRITTEN INFORMAL ,S  ,06/29/2005,,,,
ALD983173170,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,06/24/2003,,,,
ALD983173204,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/04/1998,,,,
ALD983173352,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/06/1999,,,,
ALD983174434,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/09/1997,,,,
ALD983174715,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/24/1993,,,,
ALD983174814,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/14/1993,,,,
ALD983174830,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/10/1996,,,,
ALD983176033,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/28/1998,,,,
ALD983176082,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/06/1996,,,,
ALD983176116,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/09/2002,,,,
ALD983176173,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/07/1996,,,,
ALD983176439,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/02/1995,,,,
ALD983176520,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,10/31/1997,,25000,,
ALD983177015,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/05/1997,,,,
ALD983177015,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/19/1998,,,,
ALD983177163,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/21/2016,,,,
ALD983177163,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,10/24/2016,,,,
ALD983177759,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/24/1993,,,,
ALD983178252,AL,1,AL115,WARNING LETTER,S  ,03/19/2012,,,,
ALD983178377,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/12/1991,,,,
ALD983179219,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/06/1993,,,,
ALD983179219,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,06/23/1995,25000,,,
ALD983179466,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/23/2004,,,,
ALD983179466,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,01/13/1992,,,,
ALD983179466,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/06/1997,,,,
ALD983179748,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/15/2003,,,,
ALD983179839,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/16/1996,,,,
ALD983179953,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/04/1997,,,,
ALD983180043,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/21/1995,,,,
ALD983180233,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,09/19/2017,,7500,,
ALD983180233,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/05/1996,,,,
ALD983180373,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/01/2002,,,,
ALD983180373,AL,1,AL115,WARNING LETTER,S  ,05/24/2018,,,,
ALD983180381,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/27/1999,,,,
ALD983180597,AL,2,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,09/19/2000,,,,
ALD983180597,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/03/1992,37000,37000,,
ALD983181728,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,10/22/2012,,10000,,
ALD983181728,AL,1,HQ120,WRITTEN INFORMAL ,S  ,09/17/2013,,,,
ALD983181793,AL,1,AL115,WARNING LETTER,S  ,04/13/2006,,,,
ALD983182064,AL,1,AL115,WARNING LETTER,S  ,09/17/2008,,,,
ALD983182064,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/19/1992,,,,
ALD983183153,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/16/2005,,,,
ALD983184276,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/24/1993,,,,
ALD983184292,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/05/1990,,,,
ALD983184425,AL,SFQ,HQ210,INITIAL 3008(A) COMPLIANCE ,S  ,06/26/1998,50000,,,
ALD983185828,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/13/1999,,,,
ALD983186206,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/15/1997,,,,
ALD983187873,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,06/27/2013,,8000,,
ALD983187873,AL,1,AL115,WARNING LETTER,S  ,11/14/2013,,,,
ALD983190786,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,09/20/2013,,,,
ALD983190786,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/04/2014,,11000,,
ALD983190786,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/11/1995,,,,
ALD983190877,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/17/1992,,,,
ALD983191198,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/20/2015,,,,
ALD983191206,AL,1,HQ830,RCRA TO  CERCLA ADMINISTRATIVE REFERRAL,S  ,05/03/2012,,,,
ALD983191297,AL,1,AL115,WARNING LETTER,S  ,12/11/2013,,,,
ALD983191313,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/23/1993,,,,
ALD983191313,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/02/1995,,,,
ALD983191537,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/06/2001,,,,
ALD983191594,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/07/1996,,,,
ALD983191594,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/26/2000,,,,
ALD983191651,AL,1,AL115,WARNING LETTER,S  ,04/20/2012,,,,
ALD983191891,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,04/11/2005,,,,
ALD983192030,AL,1,HQ120,WRITTEN INFORMAL ,S  ,11/20/2002,,,,
ALD983192139,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,01/18/1994,,,,
ALD983192378,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/06/1998,,,,
ALD983192402,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/16/1995,,,,
ALD983192402,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/08/1998,,,,
ALD983192543,AL,1,AL115,WARNING LETTER,S  ,07/27/2017,,,,
ALD983192865,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/11/1997,,,,
ALD983192980,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/21/1996,,,,
ALD983193046,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/15/1993,,,,
ALD983193087,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,03/04/2004,,,,
ALD983193178,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/20/1998,,,,
ALD983193277,AL,1,AL115,WARNING LETTER,S  ,01/22/2007,,,,
ALD983193434,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/23/1993,,,,
ALD983193590,AL,1,HQ120,WRITTEN INFORMAL ,S  ,10/26/2011,,,,
ALD983194036,AL,1,AL115,WARNING LETTER,S  ,10/24/2006,,,,
ALD983194036,AL,1,AL115,WARNING LETTER,S  ,02/25/2011,,,,
ALD983194192,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/04/1998,,,,
ALD983194432,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/22/1993,,,,
ALD983194473,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/14/1993,,,,
ALD983194523,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/14/1993,,,,
ALD983194523,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/13/1998,,,,
ALD983194838,AL,1,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,02/08/2002,,,,
ALD983195181,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/29/1993,,,,
ALD983195231,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/26/1998,,,,
ALN930826001,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/05/1993,,,,
ALN960326000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/22/1996,,,,
ALN960404000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/30/1996,,,,
ALN960808000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/08/1996,,,,
ALN960919000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/14/1998,,,,
ALN961001000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/14/1997,,,,
ALN961024002,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/24/1996,,,,
ALN980724000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/05/1998,,,,
ALN980824000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/13/1999,,,,
ALR000000273,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/04/1998,,,,
ALR000000372,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/15/1995,,,,
ALR000001271,AL,1,AL115,WARNING LETTER,S  ,06/16/2014,,,,
ALR000001271,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/18/1995,,,,
ALR000001487,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,01/07/2005,,,,
ALR000001842,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/10/1995,,,,
ALR000002204,AL,1,AL115,WARNING LETTER,S  ,04/01/2009,,,,
ALR000002212,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/15/1995,,,,
ALR000002238,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/29/1995,,,,
ALR000002238,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,11/17/1995,50000,,,
ALR000002246,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/28/2003,,16000,,
ALR000002246,AL,1,HQ120,WRITTEN INFORMAL ,E  ,12/21/2017,,,,
ALR000002691,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/04/1995,,,,
ALR000003061,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/01/1995,,,,
ALR000003087,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/21/1998,,,,
ALR000003137,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,06/19/2003,,,,
ALR000003236,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/07/1999,,,,
ALR000003244,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/18/1995,,,,
ALR000003301,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/12/2002,,,,
ALR000003459,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/04/1996,,,,
ALR000003962,AL,1,AL115,WARNING LETTER,S  ,11/01/2006,,,,
ALR000004333,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/01/1996,,,,
ALR000004358,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/04/1996,,,,
ALR000005074,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/20/1996,,,,
ALR000005090,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,12/12/1996,,3000,,
ALR000005710,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,12/05/2002,,,,
ALR000005884,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/14/2004,,,,
ALR000005884,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/12/2017,,,,
ALR000005926,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/18/1996,,,,
ALR000006163,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/05/1998,,,,
ALR000006197,AL,1,AL115,WARNING LETTER,S  ,06/28/2007,,,,
ALR000006346,AL,1,HQ820,EPA TO STATE ADMINISTRATIVE REFERRAL,E  ,09/20/2005,,,,
ALR000006346,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,03/06/2006,,,,
ALR000006593,AL,1,AL115,WARNING LETTER,S  ,12/04/2013,,,,
ALR000006593,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/11/2014,,,,
ALR000006817,AL,1,AL115,WARNING LETTER,S  ,08/08/2016,,,,
ALR000006866,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/14/1997,,,,
ALR000006874,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/12/1996,,,,
ALR000006916,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/30/1997,,,,
ALR000006916,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/05/1998,,500,,
ALR000006965,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/13/1996,,,,
ALR000007021,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/01/1997,,,,
ALR000007112,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/28/2005,,,,
ALR000007161,AL,1,HQ120,WRITTEN INFORMAL ,E  ,06/09/2015,,,,
ALR000007229,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/30/1997,,,,
ALR000007351,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/06/1998,,,,
ALR000007476,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/26/1997,,,,
ALR000007666,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/10/1997,,,,
ALR000007724,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/27/1997,100000,,,
ALR000007849,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/01/1997,,,,
ALR000008078,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/15/1997,,,,
ALR000008110,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/06/1999,,,,
ALR000008193,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/09/1997,,,,
ALR000008243,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/29/1999,,,,
ALR000008292,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/12/1997,,,,
ALR000008474,AL,1,AL115,WARNING LETTER,S  ,06/06/2012,,,,
ALR000008656,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/02/1997,,,,
ALR000008714,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/31/1997,,,,
ALR000008763,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/31/1997,,,,
ALR000008862,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/12/2003,,,,
ALR000009035,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/18/1997,,,,
ALR000009068,AL,1,AL115,WARNING LETTER,S  ,05/22/2006,,,,
ALR000009084,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/29/1998,,,,
ALR000009142,AL,1,AL115,WARNING LETTER,S  ,09/15/2009,,,,
ALR000009142,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/04/1998,,,,
ALR000009290,AL,1,AL115,WARNING LETTER,S  ,10/28/2010,,,,
ALR000009324,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/30/1998,,,,
ALR000009324,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/11/1998,,,,
ALR000009829,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/02/1998,,,,
ALR000009977,AL,1,AL115,WARNING LETTER,S  ,06/30/2016,,,,
